,Tweets,Date,len,Likes,RTweets
62,"Texas LC George P. Bush backed me when it wasn’t the politically correct thing to do, and I back him now. Also, AC… https://t.co/6YdVjdovKe",Tue Feb 27 22:55:36 +0000 2018,139,65098,15577
63,“American consumers are the most confident they've been since 2000....A strong job market is boosting confidence. T… https://t.co/jabPYi1Opc,Tue Feb 27 18:18:22 +0000 2018,140,57657,13530
64,"I want to encourage all of my many Texas friends to vote in the primary for Governor Greg Abbott, Senator Ted Cruz,… https://t.co/hhYhBC3fk8",Tue Feb 27 18:11:19 +0000 2018,140,106194,29443
65,WITCH HUNT!,Tue Feb 27 12:49:41 +0000 2018,11,94279,24272
66,"“We’ve seen NO EVIDENCE OF COLLUSION....I have seen nothing, the firing of James Comey and all of the aftermath, th… https://t.co/smYiwXrZnh",Tue Feb 27 12:45:58 +0000 2018,140,92636,23550
67,“I’ve been skeptical about the collusion and obstruction claims for the last year. I just don’t see the evidence...… https://t.co/wUxgVpVTIN,Tue Feb 27 12:28:59 +0000 2018,140,65402,14835
68,“He’s got a very good point. Somebody in the Justice Department has a treasure trove of evidence of Mrs. Clinton’s… https://t.co/IpmARu0gyP,Tue Feb 27 11:59:30 +0000 2018,139,69236,19706
69,RT @WhiteHouse: Merit-based immigration reform will benefit American workers and relieve the strain imposed by our current system on Federa…,Sun Feb 25 19:43:34 +0000 2018,140,0,14032
70,RT @VollrathTammie: @realDonaldTrump @FoxNews https://t.co/sERi7Vyh5I,Sun Feb 25 03:56:04 +0000 2018,69,0,7608
71,"RT @FoxNews: President @realDonaldTrump on Dem FISA memo: ""A lot of bad things happened on the other side, not on this side, but the other…",Sun Feb 25 03:11:28 +0000 2018,139,0,14814
72,"RT @FoxNews: President @realDonaldTrump on DACA: ""I'm the one that's pushing DACA and the Democrats are nowhere to be found."" https://t.co/…",Sun Feb 25 03:10:28 +0000 2018,140,0,13599
73,I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!,Sun Feb 25 01:00:46 +0000 2018,70,50047,8668
74,"“Congressman Schiff omitted and distorted key facts” @FoxNews  So, what else is new. He is a total phony!",Sun Feb 25 00:56:35 +0000 2018,105,77115,19622
75,"“Russians had no compromising information on Donald Trump” @FoxNews  Of course not, because there is none, and neve… https://t.co/R9sniNq1ar",Sat Feb 24 23:44:11 +0000 2018,140,74114,19479
76,Dem Memo: FBI did not disclose who the clients were - the Clinton Campaign and the DNC. Wow!,Sat Feb 24 23:20:06 +0000 2018,92,80479,21942
77,The Democrat memo response on government surveillance abuses is a total political and legal BUST. Just confirms all… https://t.co/7xFWbPQ5Xh,Sat Feb 24 23:16:13 +0000 2018,140,83119,20911
78,BIG CPAC STRAW POLL RESULTS: 93% APPROVE OF THE JOB PRESIDENT TRUMP IS DOING (Thank you!). 50% say President Trump… https://t.co/QavF7yVap4,Sat Feb 24 22:26:15 +0000 2018,139,99870,25565
79,"Dems are no longer talking DACA! “Out of sight, out of mind,” they say. DACA beneficiaries should not be happy. Nan… https://t.co/TZjolh9nkE",Sat Feb 24 21:18:01 +0000 2018,140,94341,22634
80,Unemployment claims are at the lowest level since 1973. Much of this has to do with the massive cutting of unnecess… https://t.co/3W7uDjmtZJ,Sat Feb 24 21:07:43 +0000 2018,140,74700,16082
81,Democrat judges have totally redrawn election lines in the great State of Pennsylvania. @FoxNews. This is very unfa… https://t.co/uErhBXPwuM,Sat Feb 24 20:16:32 +0000 2018,140,80385,22687
82,Armed Educators (and trusted people who work within a school) love our students and will protect them. Very smart p… https://t.co/wQSlkyUTzh,Sat Feb 24 18:54:14 +0000 2018,140,86311,20945
83,RT @realDonaldTrump: I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and end…,Sat Feb 24 13:23:37 +0000 2018,139,0,37179
84,"So true Wayne, and Lowest black unemployment in history! https://t.co/gDxxJdZQUm",Sat Feb 24 13:21:02 +0000 2018,80,81347,20522
85,Thank you to the great men and women of the United States @SecretService for a job well done!,Fri Feb 23 22:46:47 +0000 2018,93,87106,15598
86,"Today, @FLOTUS Melania and I were honored to welcome Prime Minister @TurnbullMalcolm and Mrs. Turnbull of Australia… https://t.co/PeVPje9xba",Fri Feb 23 21:19:37 +0000 2018,140,47554,8981
87,"Our nation’s motto is IN GOD WE TRUST. This week, our nation lost an incredible leader who devoted his life to help… https://t.co/gQzYg1Xq8r",Fri Feb 23 17:12:40 +0000 2018,140,85851,20851
88,"We salute our great American flag, we put our hands on our hearts for the pledge of Allegiance, and we all PROUDLY… https://t.co/BoR8a2Kn29",Fri Feb 23 17:08:42 +0000 2018,139,76928,18195
89,"After years of rebuilding OTHER nations, we are finally rebuilding OUR nation - and we are restoring our confidence… https://t.co/LXqvjEMR5D",Fri Feb 23 17:06:36 +0000 2018,140,69558,16005
90,"For those of you who are still interested, the Democrats have totally forgotten about DACA. Not a lot of interest on this subject from them!",Fri Feb 23 13:09:54 +0000 2018,140,98013,24819
91,"My daughter, Ivanka, just arrived in South Korea. We cannot have a better, or smarter, person representing our country.",Fri Feb 23 13:07:07 +0000 2018,119,98711,14506
92,CPAC Today!,Fri Feb 23 13:01:09 +0000 2018,11,47038,7832
93,"MS-13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands, but these killers… https://t.co/ktMXRRb97k",Fri Feb 23 11:28:35 +0000 2018,139,125717,28424
94,“School shooting survivor says he quit @CNN Town Hall after refusing scripted question.” @TuckerCarlson. Just like… https://t.co/wDQm1urt9V,Fri Feb 23 01:26:26 +0000 2018,139,113228,32016
